Review,NPS
"Thankfully this flight was much better than the other reviews had us believe. It was a 3 hour flight to Lisbon from Frankfurt. The staff at check in and onboard were very friendly and full of life. The food and drinks were served efficiently. Very tasty too but we skipped the octopus! Our seats in row1 on the 319 plane were comfortable but we weren't looking to sleep. The incline isn't very much. We had our own movies on IPads as there was no other ""entertainment"". It was an enjoyable flight.",Promoter
Toronto to Liberia Costa Rica on Jan 22nd flight #724 returned on Feb 6th flight #725. Considering that their prices are amongst the highest nothing special and I purchased a promotion buy one get half off second still cost us just over $800 each. They can keep their champagne (one way only) and the awful food they serve and lower the cost. Paid more for the extra legroom I don't know how anyone could sit comfortably in the regular seats. Flew American last year with a layover in Miami and would definitely consider again. Lovely updated aircraft roomy seats no meals but price was over $150 less. Only reason I booked direct was I was travelling with my 90 year old mother the layover would have been too much for her. Flight attendants were very nice check in staff was great in Toronto and Liberia.,Passive
"  Casablanca to Chicago via Montreal. My family and I was went on vacation to Morocco from Chicago. For some reason they weren't able to book my flight completely with theirs and I had all routes with the 6 of them except for going home from Montreal back to Chicago I had a layover of about 8 hours. After being in Morocco for 9 days on the road and falling sick, I was wanting to get home with my family. We requested them to allow that to happen. I could not afford the 150 dollars change fee and they saw my family board a plane with empty seats available but refuse to put me on it even though the baggage could have been transferred over. Then there was another flight 4 hours later that they didn't want to put me on either and said you chose to buy this ticket.",Detractor
Can't complain about the staff and the service provided by them my problem is the delay that affected my trip. Dubai to Singapore was delayed which resulted in me missing my connection to Bangkok and rebooked on the following flight 3hrs later when returning back faced another delay from Singapore to Dubai. Have been using Singapore Airlines over 10 years and never faced this issue before.,Detractor
"  Penang to Shanghai via Hong Kong. PEN to HKG route uses an older A320 while HKG to Shanghai uses a newer Airbus. Efficient timing and inflight service, better food quality on Hong Kong leg to Shanghai and back, but food on Penang Hong Kong leg was not bad too. IFE is good with lots of choices. Never had a flight delay having flown 8 legs with the airline.",Passive
" Chisinau to Bucharest in Business class. In Chisinau we had a designated mini-bus to the plane. The boarding was fast and efficient. The plane is a 19 year old ATR 42-500 with a decently kept cabin in 2-2 configuration for both classes. No wifi, multimedia, touch screens, power outlets. Seats covered in a grey leather looking material, were comfortable with great leg-room in business. Offered great food in business - a significant upgrade in quality and menu since my last short haul flight with them. We had muffins, fresh and dried fruits, cheese, bread, butter and jam. Great selection with soft drinks (and some alcohol as well, but it's not the best decision for a morning flight). Cabin service was outstanding. Everything was just impeccable.",Promoter
" Columbus to Orlando. Worst airline ever. They don't know the meaning of customer service. Flight was originally delayed 2 hours, then cancelled at the last min. I had a check in representative act like I was responsible for the flight being cancelled when I inquired about re-booking. I was given the run around for 2 hours. I finally got information on how to book with another carrier, only to have that flight cancelled. This is not how I wanted my first day of vacation to begin.",Detractor
21/6/14 EK354 DXB-SIN. Boarding not by zones this time and some confusion occurred at the gate. Middle aged aircraft by EK's standards 4.4 years old well maintained interior but my seat pocket had a bit of uncleared rubbish. Full flight. IFE as usual very good with ICE being top notch. Too many things to watch and do. There's even a customer service survey under the C component. I didn't like that there were no drink runs done after take off not even a tray of drinks like what SQ and CX does. Due to this passengers kept pressing call buttons to ask for drinks. Snack service 1h15m after take off and drinks another 30m later. Breakfast was 3h before landing. Snack consisted of a roasted chicken sandwich and chocolate chip pecan cookies same as DXB-CDG. This time the sandwich was rock hard and the cookies weren't as good they were soft and weren't baked enough. Breakfast was really good with choices between omelette with creamed spinach (Same as DXB-CDG) and fried noodles with siewmai. I had the former. Omelette didn't taste like airplane stuff but was more bland this time creamed spinach bad this time. There were also fewer potato wedges and they were soggy. Fruits were fresh. I like that they provide croissants in addition to normal bread. Drinks service was really generous and there was no limit on the number of drinks both alcoholic and non alcoholic that you could take. Even during breakfast drink service you could ask for alcohol and no questions asked. Staff service was good on this flight. Smiles during service call buttons answered promptly and drink trays brought around twice after meal service for people who turn thirsty quickly like myself. I went to the galley to ask for my bottle to be refilled and they obliged. Landing was smoothest of 4 legs. After landing during disembarkation I requested to a cabin crew to allow me up to business and first class to have a look. She asked the chief stewardess and got a nod. She then enthusiastically showed me around the upper deck and I was amazed at how luxurious it was. I thanked her profusely after that. Good service from her. As usual EK is really good if you get a good crew. Only disappointment this flight was the food.,Promoter
"3.5 hrs late leaving. No paperwork no ground crew no water lots of excuses. Finally ready to go and we see the captain loading our luggage. The bridge was stuck to the plane - it only took 3 crews and another 1/2 hr to figure that one out we were 2nd class citizens on a 3rd class airline. Inflight ""entertainment"" was had poor sound and lousy picture. They also never cleaned the plane properly - the little former ashtrays in the seat armrests were full of garbage dirty kleenexes etc. Never again.",Promoter
" Brisbane to London via Abu Dhabi. Check in staff were OK but there were no proper instructions at the tome of boarding. On board, it seem, the flight crew do not have fine training. There is no menu card and staff did not know what food there were serving. When serving, he asked me if I wanted Chicken or Lamb, so I asked what is the dish and he said in broken English that ""it is like Chicken Pasta & Spicy Lamb"" So my wife & I ordered one each. What we got was tasted like Thai Green Chicken curry with Rice Noodles & Lamb Biriyani. After a 14 Hour flight, 2 hours before landing in Brisbane at 6pm, they started to serve a snack! When asked what it was, he said ""Vegetarian"" & I got a Chocolate Danish Pastry with Custard! The tray was left on our tables until 30 mins before we landed - the whole service was a mess. If I had a choice, I would prefer not to travel with Etihad but if the price is very cheap, I may be forced to put up with the rubbish or take my own food.",Detractor
LIS-MAD-VIE on Sept 21 both legs in Business Class on an Airbus 320 and Airbus 321 respectively. Both legs were on time or almost on time. Slight delay into VIE not an issue. Transfer at MAD T4 hassle free although involved long walks due to size of terminal. No extra transfer security checks for intra-EU transfers. IBs Business lounge was excellent in all respects (comfort drinks food available space etc.). Only slight discomfort was that the WLAN vouchers handed out are restricted to 30 minutes so that multiple vouchers and log-in were required. Seats in Business Class were economy seats with their middle seats empty. IB uses the same Recaro slim line seats that Star Alliance does for European flights which are not the most comfortable option but were ok due to better than average leg room. In flight service on both legs was excellent with friendly and attentive FAs. Food served was a plain but tasty omelet with vegetables on the morning flight from LIS to MAD and a very good veal burger with potatoes (or a pasta dish) with a nice mixed salad on the second leg. Check in and security procedures in LIS were hassle free and a lot faster than expected after what at first glance looked like a bit of chaos with tons of people waiting and moving when entering the terminal early morning. But everything was handled quite well. IB uses the shared Blue Lounge is LIS which was just OK. (TP's premium lounge is far superior.) In VIE it took quite some time for the luggage to arrive but that's not IB fault and pretty much standard in VIE. First time I chose IB for the LIS-VIE route,Promoter
XIY-ICN-CDG last week. The first leg was onboard a 13-year old A333. Flight was on-time food was acceptable and service impeccable. The second leg was on a new A380. Unfortunately the check-in systems do not work for people from outside Korea and hence I got an aisle seat. This was disappointing as 99% of the time I sit by a window. It was interesting to note that the past month the flight had been 40-60 min delayed every day from ICN while arriving on time at CDG most of the time. The same happened to us and I learned that was because of heavy congestion at the airport. This should be fixed if you ask me. The flight itself was very smooth food was great and enough to drink. I'm surprised that they are a bit cheap on drinks not giving a can of soft drink but just a glass. Makes you feel less worth in many ways. Smooth landing at CDG was nice.,Promoter
" London to Manila via Kuwait was possibly one of the best flights we have taken. The plane was quite new, the staff absolutely fabulous, service first class. The legroom adequate, the inflight entertainment excellent. Kuwait airport has a lovely bunch of duty free shops. The fact that it's an alcohol free flight was quite refreshing actually, no staying up drinking, everyone relaxed. I do drink alcohol, and it was lovely not to on this occasion). We were given blankets, pillows and all done with such professional smiling charm. I would recommend this airline highly.",Promoter
"I flew from Gatwick to Heraklion return for less than the price of a train ticket to Cornwall. The staff were polite, smart and helpful. The Captain and First Officer welcomed us with announcements that informed us of the route, height , speed etc. Take off and landing was smooth. The seats were comfortable with enough leg room. Some people might struggle over the amount of space. When we left the aircraft on each occasion the Pilot came out to greet us.",Promoter
On 14th Sept flew Air Canada express - Saskatoon to Vancouver on AC Express. Excellent service by flight attendants. The plane is starting to show its age. We then flew AC 47 to Honolulu. Here again the aircraft is showing its age. Our preferred seat 12 A and C has no window. Service was excellent. The flight attendants were older and were very professional. We learned that Air Canada Rouge is taking over this route in Mid Nov. and we will be returning on that flight in Dec. Our flight departed late however arrived in good time. We had problems stowing our carry on bag as bins were completely filled. Flight attendant did put our bag in a bin in Business Class.,Promoter
Air China bears no comparison to Thai Airways that I normally use. The food is very poor drinks service minimal and the service is basic. In its favour the flights left on time and safety standards were good but I would not fly Air China again from choice.,Detractor
6 flights in July. Auckland - Singapore SGN-BKK Da Nang - SGN. SGN - Cebu. Cebu - SGN and SGN-AKL. All were full. At least 3 were late to varying degrees. On at least one occasion I suspect the delay was not due to congestion at Da Nang for goodness sake but due to late arrival. Only the first flight seemed a bit superior. That seemed to me to be small differences eg - a decent filled roll as a snack but mainly the staff worked hard all the time and seemed to have a service ethic. The food well - Take the coffee cup the wine glass the tub of water and the roll off the tray and really you are not left with much. Surprisingly the food on the SIN - BKK flight at 1600 hours was much the same as on a long flight. However usually it was a dry entree or a few small pieces of fruit plus in effect a snack box sized meal. The Cebu - SGN flight arriving at around 2030 about 1.5 hours late offered a snack box with 3 small cubes of chicken and a cm deep flavoured rice and perhaps a piece of broccoli - most children eat more. Spirits were not offered on the longer flights although they were available out of view nor wine top ups. A beer amounted to perhaps 80 mls that is 4 pours to the can. A little generosity goes a long way as does the impression of parsimony. Overall much the same as other airlines. The best food was on a Vietnam Air 1.25 hour flight where they managed to serve and clear a good meal. Although Singapore seemed to cope with routine any variation seemed to cause problems. One confirmed flight was rescheduled and a second rescheduled to another with a stopover making it two hours longer. Both were weeks in advance. I don't believe either flight was in fact rescheduled rather I was bumped. In the latter case although I was notified of a rescheduling it was much later that I noticed it was in fact a route change. On the return flight which had been altered some months before I had paid for a preferred seat. This was confirmed that I had the same seat. However in fact on the day I was given a non-preferred seat in the centre. This was drawn to the cabin crews'attention and they informed me they would and did inform the appropriate department as if that helped me at the time. Three weeks later no response. A refund would not even compensate for the relative discomfort. Had that seat not been available I would have taken the day flight on the un-refurbished plane they left us with for a year until they introduce a new plane.,Passive
HKG to BKK economy good seat at front of cabin TV AVOD old and a bit limited but fine for a short flight. Great service on both flights. Food and drinks fast wine and coffee plentiful. Crew always reply with a smile and a good attitude. I had more legroom than the premium crowd in front of me. Lounge in BKK - considering the high number of flights the lounge is really basic. The priority pass one is much better small crowded limited food and drinks. They also allow other airlines like Sri Lankan to use it too. They really need a decent lounge there to cope with the many flights to HK.,Promoter
"I flew with Air Europa from Madrid to Caracas on January 15th. First of all the flight took off from Madrid off 2 hours. I had purchased a seat with extra leg room at the back of the plane, row 40. It was quite a comfortable seat in that it reclined quite a lot, however I hadn't counted on the extremely badly behaved children screaming at each other and constantly running up and down the aisles. I mentioned this to the air hostesses, but no action was taken. There were no entertainment screens at all in the plane (really the dark ages) and if you wanted in flight entertainment, you had to fork out 10 Euros to obtain an I pad - something I did not do, on principle.The food was appalling. It was a 9 hour flight and lunch consisted of chopped up pasta and minced meat and the evening meal was pieces of very dry pizza. Of course we landed 2 hours late and the cases took 45 mins to appear. I paid $1,500 for the joy of flying with Air Europa as there is a very limited choice of airlines from which to choose on the Caracas to Madrid route. The price of the tickets goes up every 6 months and the service just gets steadily worse.",Detractor
"I am pleased to say Easyjet performed well for the busy summer season for our flights to and from La Rochelle to visit family. We didn't have bags but did get to the airport very early. Outbound: EZY8995, 14.40 (15.30)-17.05 (17.37), July 28th. Once in the departure lounge a 12 min delay was posted with the inbound aircraft 30 mins late. Around 30 mins before scheduled time of departure we got told to go to gate 52. Boarding was predominately hassle free but people could just walk on the plane. We pushed back at 15.00 and left Gatwick at 15.30 which was 50 mins late. The cabin crew were friendly and did apologise a few times for the delay. The food was quite expensive but still not as bad as Ryanair. We landed at 17.37 and deboarding was done quickly. The delay was acceptable as it was the 3rd return flight of the day in the summer. Inbound: EZY8996, 12.35( 13.25)-12.50 (13.20), August 5th. Once in the departure lounge a 25 min delay was posted. We boarded quickly around 10 mins after the aircraft arrived and were off quickly and on time. We were advised a flying time of 50 mins which is extremely quick in comparison to the average duration therefore service was rushed. However it was good to catch up with the delay. All in all the easy jet service was normal and the delays were bearable for the peak summer season. Flights costs Â£95 per person with row 7 seats pre-booked.",Passive
"Osaka to Brussels via Amsterdam with KLM. Kudos to this airline for being so efficient and helpful. The Boeing 787-9 on KL868 was a treat. Nothing can beat the 1-2-1 seating. I was seated in 1K and my wife in 2K. Service was the best that you could imagine. What stunned me was that the lavatories were decorated in the Delft Blue House wallpaper which I think was a wonderful idea. An old B77W on the way back on KL867. However, this flight did not disappoint us because the service was better than on the leg coming in. And what a coincidence. Our chief purser was the same charming gentlemen as one week again. He remembered us and chit chatted with out during the flight. I love the Dutch service and Dutch hospitality provided to us. We will definitely travel KLM when we are going to Europe again.",Promoter
" Terrible! Take any other airline. I fly anywhere between 8-12 time's per year, and when I fly Air Canada I consistently regret booking my flight with their airline. Firstly, their email and real-time updating on multiple of my flights has been inefficient. Our return flight was delayed by 2 hours and they sent an email to update on this information an hour before the flight departure. By this time we are already in line to go through security. We discovered that the cause for delay was because the flight crew had a mandatory rest time of 8hrs (and their previous flight had been late the night before) this means that the information on the flight delay had been known by Air Canada for at least 8 hours prior to the scheduled flight and they informed passengers only one hour before flight departure. In addition, our first flight to our vacation destination was also delayed and we received no updates on this until siting at the gate wondering why our flight hadn't started boarding yet. To make matters worse, they did not prove to meet their revised departure time. We actually took off even later than the revised departure time. In both circumstances the email to update was not sent at a time that would allow us to make other plans to accommodate their lack of integrity. Secondly, I was not happy with the service on the aircraft. The stewardesses seem to have a lack of communication between their fellow employees. As they collected garbage I handed the stewardess a disposable coffee cup that had been used as a make shift garbage bin (full of banana peel and other garbage) she took the cup from me, then instead of throwing it away she proceeded to hand the cup back to me and said I will come back for liquids, and turned before I could explain there was no liquid in the cup. I felt uncomfortable because I was in the middle seat and this whole scenario happened while passing garbage back and forth in front of the passenger next to me (a stranger). To add further frustration, the stewardess did not return to take the garbage. When a different stuardess passed by I asked her to please take my garbage she responded in a rude tone â€œwe already collected garbageâ€, I explained that the previous stewardess said she would return and had not, her reply was â€œI'll come back thenâ€ She did end up coming back for the garbage, greeting me with â€œyour garbage?â€ And then aggressively snatched the cup from my hand and stormed away. I felt humiliated and disrespected. This disappointing service has been consistent on multiple Air Canada flights, so often that I have come to expect this kind of service when I fly Air Canada. I have finally learned that flying Air Canada is not worth the frustration, confusion, and disrespect I encounter and will no longer consider flying with Air Canada in the future. I believe that there are much more details and events that Air Canada should be aware of if they are serious about improving their service.",Detractor
"Took a flight from Oslo to Barcelona to Menorca. I am 6'5"" (196cm) and I could not fit into the seats at all (worst leg room I have ever experienced). No food or beverages or entertainment. Flight staff was nice and helpful. The biggest problem is that the Customer Service. My luggage was delayed for 2.5 days so I had to buy some new clothes and bathroom essentials. When I have enquired both by email and phone regarding this situation I receive no response at all. They do not even bother to answer my questions at all. I will never use Vueling again as they appear to have very little regard for their clients.",Detractor
"Flew Dallas to Mexico. When you think the seats cannot get any smaller, well, yes they can. American Airlines started providing these premium economy seats with extra space for your legs, however, instead of eliminating a row they just made every single other seat smaller - it's ridiculously small. Extremelly disappointed and I plan on switching my preferred airline for now.",Detractor
" Tel Aviv to Prague via Kiev. I bought this ticket even though it wasn't that much cheaper than alternatives because it had a shorter layover than the alternatives. Little did I know the ordeal I'd be subjected to. Check your ticket closely. It is not immediately clear that it only includes one small carry-on bag. Trust me, when you get into line, you will quickly realize your mistake. They send aggressive gate agents to confront each person in line. I was willing to pay, but I was irritated by her treating me like a criminal so I insisted on checking my original receipt and she sat snapping in my face for three minutes while I did so. The fee is 80 euros. I saw people being charged this cost even when they had a small shopping bag with their lunch",Detractor
"  We flew from Detroit to Seattle to Oakland and then finally to Maui, all flights were Alaska Airlines and I was very impressed. I am one of those people that are afraid of flying but never once did I feel unsafe. The flight attendants were very friendly and accommodating. The only complaint I would have is probably the same for all airlines, it is just so cramped and when flying 5 hours becomes very uncomfortable. I will definitely recommend Alaska Air to anyone looking for a great airline.",Promoter
" Denver to Chicago, connecting to Helsinki with Finnair from Chicago. If you can, I would recommend not flying with them. There was a delay to our flight and 30 people were supposed to go on a connecting flight to Finland and they didn't hold the flight, then they promised to rebook everyones flights, and now they're saying all flights are booked until another 24+ hours and are not offering paid hotel vouchers or anything. Horrible customer service. very dissapointed.",Detractor
"Ft Lauderdale to Detroit return with Jetblue. The boarding agents at Ft Lauderdale were not helpful. I had a seat but my husband did not and they would not seat us together without us paying more because they only had ""more leg room"" seats available. Not a good experience with the check in agents at Ft Lauderdale. When we left Detroit the agents were nicer.",Passive
I showed up 2 hours early but a TSA-Alaska problem made me miss my flight. Their small print symbol calling for additional security screening was missed by TSA so when I went to board they had to send me back to TSA and I missed my flight. The worst part is that they wouldn't put me on the next flight to my destination (on another airline) and made me wait 5+ hours for another Alaska flight. I would have been better off driving. I'll avoid flying with Alaska air in the future if I can.,Detractor
A380 Club World HKG-LHR. Overall a very good flight with BA. I had a good window seat with direct aisle access and fortunately the cabin was not particularly busy so the toilet did not cause any disturbance. I find the seat very comfortable for eating lounging and sleeping although a mattress topper would make sleeping even more comfortable. The half folding table is great when you just have a drink or your phone charging but of course this has to become the table when a meal service starts so it is a shame there isn't a separate table. The inflight entertainment is excellent I do not understand any criticism of this as the screen is large and good quality and there is a large choice of films and TV. The catering however continues to be poor with BA. While the menu sounds great and dishes generally look good they often fall down when you actually eat them. As this was an overnight flight the meals were designed lighter and the champagne and canapÃ©s starter sounded perfect they were however 3 limp tasteless bite sized things. This to me is BA's weakest area and they really need to improve their catering offering in order to compete with other airlines. Service from cabin crew were very good friendly and efficient and always calling me by my name wherever they see me in the cabin.,Promoter
"Larnaca to Cairo with Egyptair. Small Embraer 170 plane was probably half full. Good legroom in economy but seat width a bit tight - minimal elbow room for two people especially if you wanted to read or work. Cabin crew were efficient getting the food and drink around but unhelpful with passenger enquiries - e.g. which type of immigration card was required. Limited soft drinks selection. Food was largely worst kind of airline food outside budget airlines - rubbery chicken, some sort of salami concoction, plastic cheese and tasteless breads. In-flight information from cabin and crew almost non-existent. Prompt departure from LCA and arrived on time. But plane stood on tarmac at Cairo for 15 mins until the door was opened as the bus to transport us to the terminal had not arrived - maybe more the fault of the airport authorities than the airline, but no explanation given by the crew which just frustrated people.",Detractor
"Recently traveled United Airlines to PVR from EWR round trip, non-stop going and connected thru IAH on the return. This time I opted to upgrade to Business Class on all three routes. Checking in was a breeze in EWR and security was surprisingly easy this time. Minor note, there is absolutely no reason to ever go to the Presidents club anymore in EWR with the updated food options in Terminal C. I would rather pay for a decent breakfast/lunch/dinner then eat the garbage they offer in the Club for ""free"". The seats were nice, however they allow too much recline for seats given the limited seat pitch. The gentleman in front of me reclined all the way back and I struggled to exit my seat to use the facilities without being very disruptive. Apart from the minor issue with the seats everything else about the flight was more than acceptable. The food was good not great. We were offered a decent breakfast, however the coffee is dreadful and the tea no better. The flight attendants were attentive and very cordial the entire time. Flying back thru to EWR from PVR via IAH was just fine except for the disaster that is IAH security. We nearly missed our connection due to extremely long queues to pass back through security after clearing customs. I have never seen only one line open in IAH when you have multiple flights trying to get through security at the same time. There were multiple people in line with us that missed their connections.",Passive
"We flew Air Europa for the first time to go from Paris to Miami via Madrid. The plane was dirty, flight attendants unfriendly and we had to pay for everything. First flight from Paris to Madrid we have not been offered any food because they only had the time to do the first 10 rows. The plane was 2 hours late and we have never been told why. Regarding the Madrid to Miami we had to pay to have some headphones. I had not seen that in years for a long distance flight. Less than 10 movies were offered which really is poor.",Detractor
"  Guayaquil to Quito. I had to check in a piece of luggage and pay 20 bucks. And go to a self-service machine to print the bag tag and get my boarding pass. The flight had no gluten free options. (I am coeliac). If I had known that Avianca flew this route I would have taken that flight. My company's travel agent booked Latam, which I avoid whenever I can.",Detractor
 London to Santo Domingo via New York. I want to thank staff of Delta Air Lines. Mandy at London Heathrow on 16th November helped me very well with a request for an Esta and checked me in for my next flight to Atlanta. She was very kind and taking care of me because I was really in panic - thank you very much. Delta Air Lines were really kind and the food and drinks were good.,Promoter
"  Harare to Marrakech via Madrid. The flight from Harare to Addis was great. The shock came in Addis when flight ET712 to Madrid was overbooked. Upon checking in at Gate 9 (changed from Gate 1), the Ethiopian Airline officers stood three of us aside, apparently because our visa to Spain and Morocco had to be verified by a senior airline officer. Myself, a man from the Democratic Republic of Congo and a lady from Equatorial Guinea. During the check-in process, the man from the Congo protested fiercely, and was let in. As the queue died, we (me and the lady from Malabo) went to the boarding desk to get the EA senior to verify our VISA's to facilitate. The Ethiopian Airline officer handling the boarding looked aside and shouted, Boarding closed we will re-route you. The senior officer had not pitched up. No one had spoken to us. Nothing. I couldn't believe it that an airline would cook false stories to manage its own problem of overbooking. Fastforward to 02:00 Addis Time, 3 hours after the initial boarding time, we were still in their office and the lady from Malabo promised to get into another flight on Tuesday May 16th. I refused calmly and with smiles of spite. They tried to get me into ET702 to go to Morocco through Rome and i refused, returning their initial transit VISA lie that if i could not do a 60 minute transit to Morocco through Madrid, then i still could not take option of going through Rome, albeit 48 hours later. Later, another officer assisted by getting me proceed to Morocco by EgyptAir. His reason for my transfer ""flight overbooked"". And at this time I asked to see the Supervisor. The supervisor did not come. As this batch of officer's prepared to go home at 03h00, my AirEgypt flight to Cairo was also boarding. I left Addis without seeing the supervisor or getting the truth. I will not fly Ethiopian Airlines on my way back home.",Detractor
" Detroit to Atlanta. Very disappointed in our first and last Spirit flight! Spirit Airlines has very uncomfortable seating and are too close together. My baggage cost was $160.00. Carry on baggage cost makes no sense. Should be shared during the sale of ticket. If the truth be known, with all the hidden cost associated with Spirit Airlines could have flown Delta out of Charlotte, N.C., and saved hundreds. Flight took off one hour late. A Sprite and M&Ms cost $7.00. Took 45 to 50 minutes to get our luggage in Atlanta. My wife and I will never fly Spirit Airlines again.",Detractor
I booked six Qatar Airways flights which were from London to Bahrain via Doha. In general I have no adverse comments to make about the economy service and the crew have always been pleasant. In fact the economy service is better with Qatar than a lot of other carriers. However it has been a nightmare on all but one flight with the air conditioning not working on the ground during boarding either in London Doha or Bahrain. As boarding takes a long time the temperature in the cabin reaches a very high temperature due to the confined space and the amount of people on board. Then the crew close the doors and still there is no air con switched on. We taxi out and now there is minimum air coming through but the air is hot not cold. When I have asked the cabin crew what is happening on these flights they always say the same thing - it is like this on all our flights and the cabin won't get cool until we have taken off. Such a shame because their economy service is good.,Detractor
